what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1351711518050
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1351711518050
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351711518440
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1351711519610
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351711520656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711522060
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711526646
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1351711526662
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1351711526662
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351711527800
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351711533463
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711534914
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711537107
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711540130
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711594768
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1351711594768
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1351711596078
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351711604315
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711607201
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711634335
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351711707977
executed,command,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.popupmenu.addtobuild",1351711710068
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711710879
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711712782
executed,command,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.popupmenu.addtobuild",1351711714108
